,folder,type,id,path
0,train,noisy,6625,6625_70995_6625-70995-0008.npy
1,train,noisy,6625,6625_70995_6625-70995-0004.npy
2,train,noisy,6625,6625_39674_6625-39674-0024.npy
3,train,noisy,6625,6625_39680_6625-39680-0034.npy
4,train,noisy,6625,6625_70995_6625-70995-0006.npy
5,train,noisy,6625,6625_39674_6625-39674-0005.npy
6,train,noisy,6625,6625_70995_6625-70995-0034.npy
7,train,noisy,6625,6625_39680_6625-39680-0000.npy
8,train,noisy,6625,6625_70995_6625-70995-0037.npy
9,train,noisy,6625,6625_60547_6625-60547-0005.npy
10,train,noisy,6625,6625_39674_6625-39674-0019.npy
11,train,noisy,6625,6625_39674_6625-39674-0009.npy
12,train,noisy,6625,6625_73085_6625-73085-0006.npy
13,train,noisy,6625,6625_39674_6625-39674-0026.npy
14,train,noisy,6625,6625_39680_6625-39680-0040.npy
15,train,noisy,6625,6625_70995_6625-70995-0000.npy
16,train,noisy,6625,6625_70995_6625-70995-0018.npy
17,train,noisy,6625,6625_39680_6625-39680-0025.npy
18,train,noisy,6625,6625_60547_6625-60547-0009.npy
19,train,noisy,6625,6625_60547_6625-60547-0026.npy
20,train,noisy,6625,6625_70995_6625-70995-0033.npy
21,train,noisy,6625,6625_60547_6625-60547-0034.npy
22,train,noisy,6625,6625_39680_6625-39680-0014.npy
23,train,noisy,6625,6625_39680_6625-39680-0004.npy
24,train,noisy,6625,6625_70995_6625-70995-0036.npy
25,train,noisy,6625,6625_39674_6625-39674-0018.npy
26,train,noisy,6625,6625_60547_6625-60547-0015.npy
27,train,noisy,6625,6625_73085_6625-73085-0014.npy
28,train,noisy,6625,6625_39674_6625-39674-0015.npy
29,train,noisy,8415,8415_283469_8415-283469-0123.npy
30,train,noisy,8415,8415_283469_8415-283469-0019.npy
31,train,noisy,8415,8415_283469_8415-283469-0041.npy
32,train,noisy,8415,8415_283469_8415-283469-0023.npy
33,train,noisy,8415,8415_283469_8415-283469-0063.npy
34,train,noisy,8415,8415_283469_8415-283469-0101.npy
35,train,noisy,8415,8415_283469_8415-283469-0043.npy
36,train,noisy,8415,8415_283469_8415-283469-0089.npy
37,train,noisy,8415,8415_283469_8415-283469-0108.npy
38,train,noisy,8415,8415_283469_8415-283469-0015.npy
39,train,noisy,8415,8415_283469_8415-283469-0058.npy
40,train,noisy,8415,8415_283469_8415-283469-0081.npy
41,train,noisy,4594,4594_902_4594-902-0027.npy
42,train,noisy,4594,4594_901_4594-901-0042.npy
43,train,noisy,4594,4594_902_4594-902-0078.npy
44,train,noisy,4594,4594_902_4594-902-0022.npy
45,train,noisy,4594,4594_902_4594-902-0026.npy
46,train,noisy,4594,4594_902_4594-902-0084.npy
47,train,noisy,4594,4594_901_4594-901-0040.npy
48,train,noisy,4594,4594_901_4594-901-0052.npy
49,train,noisy,4594,4594_902_4594-902-0049.npy
50,train,noisy,4594,4594_902_4594-902-0038.npy
51,train,noisy,4594,4594_901_4594-901-0030.npy
52,train,noisy,4594,4594_902_4594-902-0080.npy
53,train,noisy,4594,4594_901_4594-901-0065.npy
54,train,noisy,4594,4594_901_4594-901-0047.npy
55,train,noisy,4594,4594_901_4594-901-0041.npy
56,train,noisy,4594,4594_902_4594-902-0067.npy
57,train,noisy,4594,4594_902_4594-902-0031.npy
58,train,noisy,4594,4594_902_4594-902-0073.npy
59,train,noisy,4594,4594_902_4594-902-0012.npy
60,train,noisy,7492,7492_105653_7492-105653-0011.npy
61,train,noisy,7492,7492_105653_7492-105653-0020.npy
62,train,noisy,7492,7492_105653_7492-105653-0028.npy
63,train,noisy,7492,7492_87279_7492-87279-0059.npy
64,train,noisy,7492,7492_105653_7492-105653-0051.npy
65,train,noisy,7492,7492_87279_7492-87279-0053.npy
